scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby
Hornschuchia myrtillus Nees;Hornschuchia;BR;Fazenda São Roque, 20 Km na rodovia Almadina-Ibitupã. Coletas feitas a 10 km da estrada. Propriedade Senhor Luiz Carlos;-14.640833;-39.713056;Fiaschi, P;2743;12;3;2005;nan;<NA>;MBM;MBM;321118;0;0;0;;;0;;;;0;0;0;MBM321118;2743;myrtillus;"Fiaschi, P; Paixão, JL; Gomes, LCJ; Rodrigues, AB";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Bairro Coqueiral. Parque na Avenida dos Vinháticos. Trilha dos Cambarás.;;;Pirani, JR ;3074;21;2;1994;nan;<NA>;K;K;K001191168;0;0;0;;;0;;;;0;0;0;K001191168;3074;bryotrophe;J.R. Pirani;<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Bairro Coqueiral. Parque na Avenida dos Vinháticos. Trilha dos Cambarás.;;;Pirani, JR ;3074;21;2;1994;nan;<NA>;K;K;K001191167;0;0;0;;;0;;;;0;0;0;K001191167;3074;bryotrophe;J.R. Pirani;<NA>
Hornschuchia myrtillus Nees;Hornschuchia;BR;km 21 of road from Itamarajú to Prado, forest on N side of road near logging operation.;;;Kallunk, JA ;465;9;2;1993;Lopes, JC;<NA>;K;K;K001191165;0;0;0;;;0;;;;0;0;0;K001191165;465;myrtillus;J.A. Kallunk;Lopes, J.C.
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;Munic  pio de Barra do Cho  a. Estrada que liga a Rod. BR-116 a S  o Sebasti  o, 4 km a W da cidade.;;;Mori, SA;11254;21;11;1978;Johnson, DM;<NA>;K;K;K000485527;0;0;0;;;0;;;;0;0;0;K000485527;11254;lianarum;"Mori, S.A.;Santos, T.S.,Thompson, C.B.";Johnson, D.M.
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Esp  rito Santo. Guarapari: rodovia do Sol, estrada que liga a BR-101    Praia Setibana ES-060 a 6 km da BR-101.;-20.55;-40.45;Pirani, JR;2435;23;2;1988;Lopes, JC;<NA>;K;K;K000485526;0;0;0;;;0;;;;0;0;0;K000485526;2435;citriodora;"Pirani, J.R.;Mello-Silva, R.,Thomas, W.W.,Fernandes, J.B.";Lopes, J.C.
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Forest behind Faz. Lagoa NOva, reached by 2km of dirt rd. turning left at 23km from bridge at W edge of Linhares on rd. to Bananal.;;;Kallunki, J ;589;20;2;1994;nan;<NA>;K;K;K001191170;0;0;0;;;0;;;;0;0;0;K001191170;589;bryotrophe;J. Kallunki;<NA>
Hornschuchia cauliflora Maas & van Setten;Hornschuchia;BR;Fazenda Exílio, entrada no km 10,7 da BA 650 Camamú-Travessão, ca. 2 km L da sede da fazenda.;;;Jardim, JG;2716;21;2;2000;Lopes, JC;<NA>;HUEFS;HUEFS;HUEFS062877;0;0;0;;;0;;;;0;0;0;HUEFS062877;2716;cauliflora;Jardim, J.G.;Lopes, J.C.
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;20 km de Feira de Santana, na BR 116. Fazenda Sossego.;;;Melo, E;1143;14;4;1995;nan;<NA>;HUEFS;HUEFS;HUEFS019942;0;0;0;;;0;;;;0;0;0;HUEFS019942;1143;lianarum;Melo, E.;<NA>
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;Fazenda Sossêgo.;;;Melo, E;2774;11;8;1999;nan;<NA>;HUEFS;HUEFS;HUEFS039004;0;0;0;;;0;;;;0;0;0;HUEFS039004;2774;lianarum;Melo, E.;<NA>
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;Estrada Almenara-Jacinto, ca. 50 km de Almenara. Lado esquerdo da estrada.;;;Costa, J;459;23;1;2004;Maas, PJM;<NA>;HUEFS;HUEFS;HUEFS077729;0;0;0;;;0;;;;0;0;0;HUEFS077729;459;lianarum;Costa, J.;P.J.M.Maas
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;Ca. 2.5 Km Palmira, conexão Palmira com Itaju da Colônia - Itapé, faz. São Roque.(Luis Fernando Verde).;;;Thomas, WW;12313;14;3;2001;Lopes, JC;<NA>;HUEFS;HUEFS;HUEFS184309;0;0;0;;;0;;;;0;0;0;HUEFS184309;12313;lianarum;Thomas, W.W.;Lopes, J.C.
Hornschuchia Nees;Hornschuchia;BR;Estrada de terra próximo a rodovia Una - Valença.;;;Pastore, JFB;2129;22;6;2007;Jardim, JG;<NA>;HUEFS;HUEFS;HUEFS127591;0;0;0;;;0;;;;0;0;0;HUEFS127591;2129;;Pastore, J.F.B.;J.G.Jardim
Hornschuchia polyantha Maas;Hornschuchia;BR;<NA>;;;Kallunki, JA;428;4;2;1993;Queiroz, LP de;1994-01-01T00:00:00;HUEFS;HUEFS;HUEFS017561;0;0;0;;;0;1;1;1994;0;0;0;HUEFS017561;428;polyantha;"Kallunki, J.A.;Jesus, N.G.";L.P.de Queiroz
Hornschuchia Nees;Hornschuchia;BR;Entrada para a cidade próximo Ba 052 (Estrada do Feijão).;;;Melo, E;2784;11;8;1999;Lopes, JC;<NA>;HUEFS;HUEFS;HUEFS039014;0;0;0;;;0;;;;0;0;0;HUEFS039014;2784;;Melo, E.;Lopes, J.C.
Hornschuchia polyantha Maas;Hornschuchia;BR;<NA>;;;Amorim, AM;827;8;10;1992;Maas, PJM;1992-01-01T00:00:00;HUEFS;HUEFS;HUEFS013176;0;0;0;;;0;1;1;1992;0;0;0;HUEFS013176;827;polyantha;"Amorim, A.M.;Vieira, T.";P.J.M.Maas
Hornschuchia bryotrophe Nees;Hornschuchia;BR;3 km north of Rodoviaria, Mata da Esperança, forest north of dam and reservoir;-14.781944;-39.069167;Thomas, WW ;10742;11;1;1995;Lopes, JC;<NA>;NY;NY;NY00095141;0;0;0;;;0;;;;0;0;0;NY00095141;10742;bryotrophe;W. W. Thomas;Lopes, J.C.
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Rod. BR 030, trecho Ubaitaba/Maraú, km 15. Folha SD 24 (14-39c);-14.103333;-39.014444;Mori, SA ;11348;5;2;1979;Kallunki, JA ;1981-01-01T00:00:00;NY;NY;NY00395786;0;0;0;;;0;1;1;1981;0;0;0;NY00395786;11348;bryotrophe;S. A. Mori;J. A. Kallunki
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.;-14.423056;-39.061667;Carvalho, AMV de;3602;11;9;1991;Amorim, AM ;1991-01-01T00:00:00;NY;NY;NY00395805;0;0;0;;;0;1;1;1991;0;0;0;NY00395805;3602;obliqua;A. M. V. de Carvalho;A. M. Amorim
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Entrada a direita, no km 10,4, Rod. Una/Ilhéus;-15.293333;-39.075278;Jardim, JG ;262;26;8;1993;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395787;0;0;0;;;0;1;1;1994;0;0;0;NY00395787;262;bryotrophe;J. G. Jardim;D. M. Johnson
Hornschuchia myrtillus Nees;Hornschuchia;BR;Reserva do Vale de Rio Doce, Estrada Farinha seca.;-19.098611;-40.052778;Maas, PJM ;9853;8;5;2009;nan;<NA>;NY;NY;NY02699054;0;0;0;;;0;;;;0;0;0;NY02699054;9853;myrtillus;P. J. M. Maas;<NA>
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana;-14.423056;-39.061667;Amorim, AM ;794;6;10;1992;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395802;0;0;0;;;0;1;1;1994;0;0;0;NY00395802;794;obliqua;A. M. Amorim;D. M. Johnson
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada do Tanguá, pelo do Rio Bonito;-22.708611;-42.609444;Kuhlmann, M ;;26;2;1951;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395784;0;0;0;;;0;1;1;1994;0;0;0;NY00395784;nan;bryotrophe;M. Kuhlmann;D. M. Johnson
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest;-14.423056;-39.061667;Thomas, WW ;8041;1;7;1991;Maas, PJM ;1992-01-01T00:00:00;NY;NY;NY00395804;0;0;0;;;0;1;1;1992;0;0;0;NY00395804;8041;obliqua;W. W. Thomas;P. J. M. Maas
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Rodovia BR-415, 40 km Oeste de Itabuna. Regiao de Mata Higrófila Sul Baiana;-14.86;-39.58;Mori, SA ;9368;2;3;1978;Kallunki, JA ;1978-01-01T00:00:00;NY;NY;NY00395785;0;0;0;;;0;1;1;1978;0;0;0;NY00395785;9368;bryotrophe;S. A. Mori;J. A. Kallunki
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana;-14.423056;-39.061667;Amorim, AM ;794;6;10;1992;Maas, PJM ;1992-01-01T00:00:00;NY;NY;NY00395803;0;0;0;;;0;1;1;1992;0;0;0;NY00395803;794;obliqua;A. M. Amorim;P. J. M. Maas
Hornschuchia santosii D.M.Johnson;Hornschuchia;BR;Rodovia de Almadina para Ibitupã, ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal.;-14.640833;-39.713056;Fiaschi, P ;2784;12;3;2005;Lopes, JC;<NA>;NY;NY;NY01282018;0;0;0;;;0;;;;0;0;0;NY01282018;2784;santosii;P. Fiaschi;Lopes, J.C.
Hornschuchia myrtillus Nees;Hornschuchia;BR;Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.;-16.028611;-39.921389;Thomas, WW ;13723;31;1;2004;Maas, PJM ;2007-01-01T00:00:00;NY;NY;NY01091758;0;0;0;;;0;1;1;2007;0;0;0;NY01091758;13723;myrtillus;W. W. Thomas;P. J. M. Maas
Hornschuchia polyantha Maas;Hornschuchia;BR;Rod. Sao José/Una, ca. 9 km da rod. BR-101;-15.070833;-39.309722;Jardim, JG ;2064;18;3;1999;Maas, PJM ;2002-01-01T00:00:00;NY;NY;NY00583368;0;0;0;;;0;1;1;2002;0;0;0;NY00583368;2064;polyantha;J. G. Jardim;P. J. M. Maas
Hornschuchia polyantha Maas;Hornschuchia;BR;Rodovia Buerarema - São José da Vitória (BR 101), ramal à esq., ca. 15 km de Buerarema. Entrada à direita, ca. 9.5 km da BR. Fazenda Sta. Rosa, entrada ca. 500 à dir. Proprietário: José Elias;-15.105278;-39.288889;Fiaschi, P ;1287;5;2;2003;Lopes, JC;<NA>;NY;NY;NY00821927;0;0;0;;;0;;;;0;0;0;NY00821927;1287;polyantha;P. Fiaschi;Lopes, J.C.
Hornschuchia polyantha Maas;Hornschuchia;BR;11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco;-14.345278;-39.381944;Thomas, WW ;12675;30;10;2001;Thomas, WW ;2001-01-01T00:00:00;NY;NY;NY00684351;0;0;0;;;0;1;1;2001;0;0;0;NY00684351;12675;polyantha;W. W. Thomas;W. W. Thomas
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. ca. 7 km na estrada Serra Grande/Itacaré. Local do Inventário Florestal. Regiao da Mata Higrófila Sul Baiana;-14.410833;-39.054722;Carvalho, AMV de;6132;10;10;1995;Maas, PJM ;1996-01-01T00:00:00;NY;NY;NY00395801;0;0;0;;;0;1;1;1996;0;0;0;NY00395801;6132;obliqua;A. M. V. de Carvalho;P. J. M. Maas
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Rod. Ipiau-Ibirataia;-14.137222;-39.733889;Santos, TS dos;2133;12;11;1971;Kallunki, JA ;1981-01-01T00:00:00;NY;NY;NY00395783;0;0;0;;;0;1;1;1981;0;0;0;NY00395783;2133;bryotrophe;T. S. dos Santos;J. A. Kallunki
Hornschuchia alba (A.St.-Hil.) R.E.Fr.;Hornschuchia;BR;Fazenda of José Gonçalves.;-22.78;-41.95;Maas, PJM ;8818;8;2;1999;nan;<NA>;NY;NY;NY02699049;0;0;0;;;0;;;;0;0;0;NY02699049;8818;alba;P. J. M. Maas;<NA>
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Rodovia do Sol, road linking BR-101 to the Praia Setibana, ES-060 at 6 km E of BR-101;-20.55;-40.45;Kallunki, JA ;342;18;1;1993;Lopes, JC;<NA>;NY;NY;NY00395799;0;0;0;;;0;;;;0;0;0;NY00395799;342;citriodora;J. A. Kallunki;Lopes, J.C.
Hornschuchia polyantha Maas;Hornschuchia;BR;Estrada Sao José-Una. Coletas efetuadas no Km 9 a partir da BR, Fazenda Santa Rosa. Mata Higrófila Sul Baiana;-15.1;-39.277778;Amorim, AM ;827;8;10;1992;Maas, PJM ;1992-01-01T00:00:00;NY;NY;NY00395798;0;0;0;;;0;1;1;1992;0;0;0;NY00395798;827;polyantha;A. M. Amorim;P. J. M. Maas
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal;-19.28;-40.2;Kallunki, JA ;589;20;2;1994;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395780;0;0;0;;;0;1;1;1994;0;0;0;NY00395780;589;bryotrophe;J. A. Kallunki;D. M. Johnson
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;"Ca. 2.5 km N of Palmira on road connecting palmira to the Itaju do Colônia-Itapé Road, Fazenda Sao Roque (owner Luis Fernando Verde); mountain with transitional subdeciduous forest, some of it disturbed";-15.141389;-39.579167;Thomas, WW ;12313;14;3;2001;Lopes, JC;<NA>;NY;NY;NY01282053;0;0;0;;;0;;;;0;0;0;NY01282053;12313;lianarum;W. W. Thomas;Lopes, J.C.
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Rodovia do Sol, road linking BR-101 to the Praia Setibana, ES-060 at 6 km E of BR-101;-20.55;-40.45;Kallunki, JA ;342;18;1;1993;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395800;0;0;0;;;0;1;1;1994;0;0;0;NY00395800;342;citriodora;J. A. Kallunki;D. M. Johnson
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada a Itamari;-13.74;-39.48;Santos, TS dos;1168;22;10;1970;Kallunki, JA ;1981-01-01T00:00:00;NY;NY;NY00395782;0;0;0;;;0;1;1;1981;0;0;0;NY00395782;1168;bryotrophe;T. S. dos Santos;J. A. Kallunki
Hornschuchia polyantha Maas;Hornschuchia;BR;Estrada Sao José-Una. Coletas efetuadas no Km 9 a partir da BR, Fazenda Santa Rosa. Mata Higrófila Sul Baiana;-15.1;-39.277778;Amorim, AM ;827;8;10;1992;Maas, PJM ;1992-01-01T00:00:00;NY;NY;NY00395797;0;0;0;;;0;1;1;1992;0;0;0;NY00395797;827;polyantha;A. M. Amorim;P. J. M. Maas
Hornschuchia myrtillus Nees;Hornschuchia;BR;Km 21 of road from Itamarajú to Prado, forest on N side of road near logging operation;-17.17;-39.4;Kallunki, JA ;465;9;2;1993;Johnson, DM;1997-01-01T00:00:00;NY;NY;NY00395779;0;0;0;;;0;1;1;1997;0;0;0;NY00395779;465;myrtillus;J. A. Kallunki;Johnson, D.M.
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.;;;Kallunki, JA ;707;21;4;1995;Johnson, DM ;1997-01-01T00:00:00;NY;NY;NY00227611;0;0;0;;;0;1;1;1997;0;0;0;NY00227611;707;bryotrophe;J. A. Kallunki;D. M. Johnson
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Mun. Ipojuca, ENgenho de Conceição Velha, Mata das Três Passagens, à direira da PE-60, em direção a Barreiras, após a tubulação que cruza a estrada para a Usina Ipojuca.;;;Tavares, S ;51;9;12;1997;Lopes, JC;<NA>;NY;NY;NY01017923;0;0;0;;;0;;;;0;0;0;NY01017923;51;bryotrophe;S. Tavares;Lopes, J.C.
Hornschuchia Nees;Hornschuchia;BR;Rio Purus, silva terris altis infraconfluentus flum. Acre, loco Montsverde.;;;Ducke, A ;23900;;;;nan;<NA>;US;US;US00589436;0;0;0;;;0;;;;0;0;0;US00589436;23900;;A. Ducke;<NA>
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Guarapari: Rodovia do Sol, estrada que liga a BR-101 a Praia Setibana ES-060 a 6 Km da BR-101.;-20.55;-40.45;Pirani, JR ;2435;23;2;1988;nan;<NA>;NY;NY;NY00008364;0;0;0;;;0;;;;0;0;0;NY00008364;2435;citriodora;J. R. Pirani;<NA>
