scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Goniothalamus costulatus Miq.;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1680;0;0;0;;;0;;;;0;0;0;KR1680;nan;costulatus;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria hirsuta Jack;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1536;0;0;0;;;0;;;;0;0;0;KR1536;nan;hirsuta;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1926;0;0;0;;;0;;;;0;0;0;KR1926;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2368;0;0;0;;;0;;;;0;0;0;KR2368;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Pyramidanthe Miq.;Pyramidanthe;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1771;0;0;0;;;0;;;;0;0;0;KR1771;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria hirsuta Jack;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2094;0;0;0;;;0;;;;0;0;0;KR2094;nan;hirsuta;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2851;0;0;0;;;0;;;;0;0;0;KR2851;nan;obliqua;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2355;0;0;0;;;0;;;;0;0;0;KR2355;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0904;0;0;0;;;0;;;;0;0;0;KR0904;nan;malayana;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2677;0;0;0;;;0;;;;0;0;0;KR2677;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Pyramidanthe Miq.;Pyramidanthe;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2145;0;0;0;;;0;;;;0;0;0;KR2145;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1101;0;0;0;;;0;;;;0;0;0;KR1101;nan;macrophyllus;<NA>;Katja Rembold;<NA>;recby_problem
Phaeanthus splendens Miq.;Phaeanthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2499;0;0;0;;;0;;;;0;0;0;KR2499;nan;splendens;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2860;0;0;0;;;0;;;;0;0;0;KR2860;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Orophea corymbosa (Blume) Miq.;Orophea;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2856;0;0;0;;;0;;;;0;0;0;KR2856;nan;corymbosa;<NA>;Katja Rembold;<NA>;recby_problem
Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson;Drepananthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1087;0;0;0;;;0;;;;0;0;0;KR1087;nan;ramuliflorus;<NA>;Katja Rembold;<NA>;recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2336;0;0;0;;;0;;;;0;0;0;KR2336;nan;acuminatissima;<NA>;Katja Rembold;<NA>;recby_problem
Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson;Drepananthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR3037;0;0;0;;;0;;;;0;0;0;KR3037;nan;ramuliflorus;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2352;0;0;0;;;0;;;;0;0;0;KR2352;nan;microtus;<NA>;Katja Rembold;<NA>;recby_problem
Artabotrys hexapetalus (L.f.) Bhandari;Artabotrys;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2944;0;0;0;;;0;;;;0;0;0;KR2944;nan;hexapetalus;<NA>;Katja Rembold;<NA>;recby_problem
Cyathocalyx sumatranus Scheff.;Cyathocalyx;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2866;0;0;0;;;0;;;;0;0;0;KR2866;nan;sumatranus;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0658;0;0;0;;;0;;;;0;0;0;KR0658;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0684;0;0;0;;;0;;;;0;0;0;KR0684;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Trivalvaria macrophylla (Blume) Miq.;Trivalvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2392;0;0;0;;;0;;;;0;0;0;KR2392;nan;macrophylla;<NA>;Katja Rembold;<NA>;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1797;0;0;0;;;0;;;;0;0;0;KR1797;nan;pisocarpa;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1120;0;0;0;;;0;;;;0;0;0;KR1120;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1968;0;0;0;;;0;;;;0;0;0;KR1968;nan;macrophyllus;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1757;0;0;0;;;0;;;;0;0;0;KR1757;nan;microtus;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia Blume;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2815;0;0;0;;;0;;;;0;0;0;KR2815;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Miliusa longipes King;Miliusa;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2980;0;0;0;;;0;;;;0;0;0;KR2980;nan;longipes;<NA>;Katja Rembold;<NA>;recby_problem
Trivalvaria macrophylla (Blume) Miq.;Trivalvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2585;0;0;0;;;0;;;;0;0;0;KR2585;nan;macrophylla;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1415;0;0;0;;;0;;;;0;0;0;KR1415;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1073;0;0;0;;;0;;;;0;0;0;KR1073;nan;macrophyllus;<NA>;Katja Rembold;<NA>;recby_problem
Artabotrys maingayi Hook.f. & Thomson;Artabotrys;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR3049;0;0;0;;;0;;;;0;0;0;KR3049;nan;maingayi;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0861;0;0;0;;;0;;;;0;0;0;KR0861;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0573;0;0;0;;;0;;;;0;0;0;KR0573;nan;biglandulosa;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1466;0;0;0;;;0;;;;0;0;0;KR1466;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson;Drepananthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0862;0;0;0;;;0;;;;0;0;0;KR0862;nan;ramuliflorus;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1463;0;0;0;;;0;;;;0;0;0;KR1463;nan;excelsa;<NA>;Katja Rembold;<NA>;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2950;0;0;0;;;0;;;;0;0;0;KR2950;nan;pisocarpa;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR3017;0;0;0;;;0;;;;0;0;0;KR3017;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0834;0;0;0;;;0;;;;0;0;0;KR0834;nan;glauca;<NA>;Katja Rembold;<NA>;recby_problem
Xylopia elliptica Maingay ex Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0404;0;0;0;;;0;;;;0;0;0;KR0404;nan;elliptica;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0653;0;0;0;;;0;;;;0;0;0;KR0653;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1760;0;0;0;;;0;;;;0;0;0;KR1760;nan;microtus;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2728;0;0;0;;;0;;;;0;0;0;KR2728;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1729;0;0;0;;;0;;;;0;0;0;KR1729;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2862;0;0;0;;;0;;;;0;0;0;KR2862;nan;pisocarpa;<NA>;Katja Rembold;<NA>;recby_problem
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2829;0;0;0;;;0;;;;0;0;0;KR2829;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2097;0;0;0;;;0;;;;0;0;0;KR2097;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria lobbiana Hook.f. & Thomson;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2037;0;0;0;;;0;;;;0;0;0;KR2037;nan;lobbiana;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria hirsuta Jack;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2093;0;0;0;;;0;;;;0;0;0;KR2093;nan;hirsuta;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1725;0;0;0;;;0;;;;0;0;0;KR1725;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1483;0;0;0;;;0;;;;0;0;0;KR1483;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Friesodielsia glauca (Hook.f. & Thomson) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2057;0;0;0;;;0;;;;0;0;0;KR2057;nan;glauca;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR3018;0;0;0;;;0;;;;0;0;0;KR3018;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2427;0;0;0;;;0;;;;0;0;0;KR2427;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2193;0;0;0;;;0;;;;0;0;0;KR2193;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Xylopia elliptica Maingay ex Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0860;0;0;0;;;0;;;;0;0;0;KR0860;nan;elliptica;<NA>;Katja Rembold;<NA>;recby_problem
Popowia Endl.;Popowia;ID;Manado, Minahasa;1.48218;124.848922;<NA>; bb 17683 ;21;9;1933;;1988-07-01T00:00:00;<NA>;Botany;L  0971743;0;0;0;;;0;1;7;1988;0;0;0;L0971743;17683;;<NA>;Kessler PJA;<NA>;recby_problem
Mezzettia Becc.;Mezzettia;ID;ZW Afd, v. Borneo, Tidoengsch Landen;-3.5;115.5;<NA>; bb 18196 ;20;1;1934;;<NA>;<NA>;Botany;L  0972309;0;0;0;;;0;;;;0;0;0;L0972309;18196;;<NA>;Steenis CGGJ van;<NA>;recby_problem
Mezzettia Becc.;Mezzettia;ID;ZO Afd. v. Borneo, West Koetei;0.0;116.5;<NA>; bb 16046 ;1;11;1931;;<NA>;<NA>;Botany;L  0989470;0;0;0;;;0;;;;0;0;0;L0989470;16046;;<NA>;Steenis CGGJ van;<NA>;recby_problem
Mezzettia Becc.;Mezzettia;ID;ZO Afd. v. Borneo, West Koetei;0.0;116.5;<NA>; bb 16969 ;16;3;1932;;<NA>;<NA>;Botany;L  0971046;0;0;0;;;0;;;;0;0;0;L0971046;16969;;<NA>;Steenis CGGJ van;<NA>;recby_problem
Polyalthia Blume;Polyalthia;ID;Archipel. Ind. Manado, Amoerang.;1.179489;124.571324;<NA>; bb 17970 ;24;10;1933;;<NA>;<NA>;Botany;L  0972024;0;0;0;;;0;;;;0;0;0;L0972024;17970;;<NA>;Steenis CGGJ van;<NA>;recby_problem
Polyalthia Blume;Polyalthia;ID;Riouw en Ond. Karimoen;1.05;103.366667;<NA>; bb 17336 ;14;3;1933;;<NA>;<NA>;Botany;L  0971433;0;0;0;;;0;;;;0;0;0;L0971433;17336;;<NA>;Steenis CGGJ van;<NA>;recby_problem
Polyalthia Blume;Polyalthia;ID;Archipel. Ind.: Celebes en Ond. Malili, Angkona.;-2.6351;121.0948;<NA>; bb 24968 ;30;6;1938;;<NA>;<NA>;Botany;L  0979845;0;0;0;;;0;;;;0;0;0;L0979845;24968;;<NA>;<NA>;<NA>;recby_problem
Mezzettia Becc.;Mezzettia;ID;Archipel. Ind. Riouw en Ond. Karimoen O.;1.05;103.366667;<NA>; bb 17335 ;13;3;1933;;<NA>;<NA>;Botany;L  0971432;0;0;0;;;0;;;;0;0;0;L0971432;17335;;<NA>;Steenis CGGJ van;<NA>;recby_problem
