recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby
Merrill, ED;9213;Su, YCF;01/09/2001 - 30/09/2001;01/04/1913 - 30/04/1913;Palawan;Philippines. Taytay. Palawan;P00268522;Philippines;Pseuduvaria;philippinensis;0;0;0;0;;;1;4;1913;1;9;2001;0;0;0;119.5159199;10.8264031;0;0;9213;P00268522;Merrill, E.D.;Su, Y.C.F.
Merrill, ED;9213;Su, YCF;01/09/2001 - 30/09/2001;01/04/1913 - 30/04/1913;Palawan;Philippines. Taytay. Palawan;P00268523;Philippines;Pseuduvaria;philippinensis;0;0;0;0;;;1;4;1913;1;9;2001;0;0;0;119.5159199;10.8264031;0;0;9213;P00268523;Merrill, E.D.;Su, Y.C.F.
Merrill, ED;9213;Su, YCF;01/09/2001 - 30/09/2001;01/04/1913 - 30/04/1913;Palawan;Taytay, Palawan, Philippines;P00268524;Philippines;Pseuduvaria;philippinensis;0;0;0;0;;;1;4;1913;1;9;2001;0;0;0;119.5159199;10.8264031;0;0;9213;P00268524;Merrill, E.D.;Su, Y.C.F.
Ramos, M;24449;nan;<NA>;01/02/1916 - 31/03/1916;Northern Samar;Philippines. Catubig River, Samar;P00268525;Philippines;Pseuduvaria;philippinensis;0;0;0;0;;;1;2;1916;;;;0;0;0;125.03;12.467;0;0;24449;P00268525;Ramos, M.;<NA>
Ramos, M;46374;nan;<NA>;01/11/1925 - 31/12/1925;Oriental Mindoro;Philippines. Puerto Galera. Mindoro;P00268526;Philippines;Pseuduvaria;philippinensis;0;0;0;0;;;1;11;1925;;;;0;0;0;120.9541838;13.5018252;0;0;46374;P00268526;Ramos, M.;<NA>
Loher, A;38;Weerasooriya, AD;01/03/2001 - 31/03/2001;07/06/1891 - 07/06/1891;Rizal;Herbarium Philippinense. Cueva de Montalban. Luzon central.;P00133827;Philippines;Mitrephora;reflexa;0;0;0;0;;;7;6;1891;1;3;2001;0;0;0;121.165;14.732;0;0;38;P00133827;Loher, A.;Weerasooriya, A.D.
Otanes, F;;nan;<NA>;01/04/1914 - 30/06/1914;Pangasinan;Umingan, Province of Pangasinan, Luzon, Philippines.;P00133828;Philippines;Mitrephora;sp.;0;0;0;0;<NA>;<NA>;1;4;1914;;;;0;0;0;120.8334911;15.9292773;0;0;nan;P00133828;Otanes, F.;<NA>
Ramos, M;;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/07/1914 - 31/08/1914;Batangas;Philippines. Province of Batangas. Luzon;P00133829;Philippines;Mitrephora;lanotan;0;0;0;0;<NA>;<NA>;1;7;1914;1;3;2001;0;0;0;120.92550256115466;13.8591144;0;0;nan;P00133829;Ramos, M.;Weerasooriya, A.D.
Ahern;3137;nan;<NA>;01/05/1905 - 30/06/1905;Rizal;Philippines. Province of Rizal, Luzon.;P00142681;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1905;;;;0;0;0;121.25;14.65;0;0;3137;P00142681;Ahern;<NA>
Merrill;199;Merrill;<NA>;01/05/1914 - 31/05/1914;Pangasinan;Umingan, Pangasinan Province, Luzon;P00142684;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1914;;;;0;0;0;120.8334911;15.9292773;0;0;199;P00142684;Merrill;Merrill
Cenabre, AL;25533;nan;<NA>;01/05/1916 - 31/05/1916;Bicol Region (Region V);Philippines. Camarines Province. Luzon;P00268545;Philippines;Orophea;unguiculata;0;0;0;0;;;1;5;1916;;;;0;0;0;122.793;14.013;0;0;25533;P00268545;Cenabre, A.L.;<NA>
Elmer, ADE;13286;Elmer, ADE;<NA>;01/07/1912 - 31/07/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta) Province of Agusa,. Island of Mindanao;P00268546;Philippines;Orophea;unguiculata;0;0;0;0;;;1;7;1912;;;;0;0;0;125.532318;9.1231657;0;0;13286;P00268546;Elmer, A.D.E.;Elmer, A.D.E.
Escritor, L;20834;Su, YCF;01/09/2001 - 30/09/2001;01/03/1913 - 30/04/1913;Quezon;Philippines. Guinayangan. Province of Tayabas. Luzon;P00268547;Philippines;Pseuduvaria;unguiculata;0;0;0;0;;;1;3;1913;1;9;2001;0;0;0;122.4521906;13.8963821;0;0;20834;P00268547;Escritor, L.;Su, Y.C.F.
Ramos, M;1661;Su, YCF;01/09/2001 - 30/09/2001;01/04/1914 - 30/04/1914;Samar;Philippine plants. Samar;P00268548;Philippines;Pseuduvaria;unguiculata;0;0;0;0;;;1;4;1914;1;9;2001;0;0;0;125.0;11.833;0;0;1661;P00268548;Ramos, M.;Su, Y.C.F.
Ramos, M;36636;nan;<NA>;01/10/1919 - 31/10/1919;Maguindanao;Philippines. Mt. Tubuan. Zamboanga District. Mindanao;P00268549;Philippines;Orophea;unguiculata;0;0;0;0;;;1;10;1919;;;;0;0;0;124.014;7.001;0;0;36636;P00268549;Ramos, M.;<NA>
Cumming;450;nan;<NA>;<NA>;National Capital Region (NCR);Manille;P00372660;Philippines;Polyalthia;lanceolata;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;450;P00372660;Cumming;<NA>
Elmer, ADE;12677;Mols, JB;01/03/2004 - 31/03/2004;01/02/1911 - 28/02/1911;Palawan;Philippine Islands. Brooks Point (Addison Peak), Province of Palawan. Island of Palawan.;P00160916;Philippines;Miliusa;horsfieldii;0;0;0;0;;;1;2;1911;1;3;2004;0;0;0;117.753;8.802;0;0;12677;P00160916;Elmer, A.D.E.;Mols, J.B.
Ramos, M;;nan;01/01/2004 - 31/12/2004;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Siargao Island;P00160919;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;6;1919;1;1;2004;0;0;0;126.05;9.905;0;0;nan;P00160919;Ramos, M.;<NA>
Ramos, M;;Mols, JB;01/07/1998 - 31/07/1998;01/07/1915 - 31/08/1915;Sorsogon;Philippines. Province of Sorsogon, Luzon.;P00372667;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;<NA>;<NA>;1;7;1915;1;7;1998;0;0;0;123.916667;12.833333;0;0;nan;P00372667;Ramos, M.;Mols, J.B.
Merrill;305;Merrill;<NA>;01/12/1914 - 31/12/1914;Bicol Region (Region V);Philippines. Camarines Province, Luzon;P00372668;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;;;1;12;1914;;;;0;0;0;122.89;13.965;0;0;305;P00372668;Merrill;Merrill
Ramos, M;27333;nan;<NA>;01/02/1917 - 31/03/1917;Ilocos Norte;Philippines. Burgos. Prov. of Ilocos Norte. Luzon;P00372669;Philippines;Phaeanthus;pubescens;0;0;0;0;;;1;2;1917;;;;0;0;0;120.6436311;18.5110086;0;0;27333;P00372669;Ramos, M.;<NA>
Ramos, M;;Mols, JB;01/07/1998 - 31/07/1998;01/04/1918 - 31/05/1918;Capiz;Philippines. Mt. Macosolon. Capiz Province. Panay;P00372673;Philippines;Phaeanthus;villosus;0;0;0;0;<NA>;<NA>;1;4;1918;1;7;1998;0;0;0;124.332;13.953;0;0;nan;P00372673;Ramos, M.;Mols, J.B.
Ahern;;nan;<NA>;01/11/1904 - 31/12/1904;Rizal;Philippines. Bosoboso. Province of Rizal, Luzon;P00372684;Philippines;Polyalthia;flava;0;0;0;0;<NA>;<NA>;1;11;1904;;;;0;0;0;121.2395;14.639;0;0;nan;P00372684;Ahern;<NA>
Reillo, J;16460;nan;<NA>;04/10/1912 - 04/10/1912;Zamboanga Sibugay;Philippines. Santa Maria. District of Zamboanga. Mindanao;P00372685;Philippines;Polyalthia;glandulosa;0;0;0;0;;;4;10;1912;;;;0;0;0;122.065;6.933;0;0;16460;P00372685;Reillo, J.;<NA>
Elmer, ADE;13055;Elmer, ADE;<NA>;01/04/1911 - 30/04/1911;Palawan;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan;P00372692;Philippines;Polyalthia;minutiflora;0;0;0;0;;;1;4;1911;;;;0;0;0;118.7350414;9.7376025;0;0;13055;P00372692;Elmer, A.D.E.;Elmer, A.D.E.
Ahern;;Mols, JB;01/03/2004 - 31/03/2004;01/04/1904 - 30/04/1904;Rizal;Philippine Forest. Antipolo, Province of Rizal, Luzon;P00160920;Philippines;Miliusa;vidalii;0;0;0;0;<NA>;<NA>;1;4;1904;1;3;2004;0;0;0;121.1758611;14.5870262;0;0;nan;P00160920;Ahern;Mols, J.B.
Paraiso, E;;Kessler, P;25/10/1989 - 25/10/1989;01/04/1915 - 30/04/1915;Ilocos Norte;Philippines. Province of Ilocos Norte. Luzon;P00160921;Philippines;Miliusa;sp.;0;0;0;0;<NA>;<NA>;1;4;1915;25;10;1989;0;0;0;120.75;18.166667;0;0;nan;P00160921;Paraiso, E.;Kessler, P.
Ramos, M;22573;Kessler, P;25/10/1989 - 25/10/1989;01/04/1915 - 31/05/1915;Cavite;Philippines. Province of Cavite. Luzon;P00160922;Philippines;Miliusa;sp.;0;0;0;0;;;1;4;1915;25;10;1989;0;0;0;120.78;14.32;0;0;22573;P00160922;Ramos, M.;Kessler, P.
Cumming;1198;Mols, JB;<NA>;<NA>;National Capital Region (NCR);Manille;P00160923;Philippines;Miliusa;vidalii;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;1198;P00160923;Cumming;Mols, J.B.
Elmer, ADE;17357;Elmer, ADE;<NA>;01/09/1916 - 30/09/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon;P00160924;Philippines;Polyalthia;pacifica;0;0;0;0;;;1;9;1916;;;;0;0;0;124.055;12.766;0;0;17357;P00160924;Elmer, A.D.E.;Elmer, A.D.E.
Cenabre, AL;;Kessler, P;01/05/2004 - 31/05/2004;01/02/1923 - 28/02/1923;Palawan;Philippines. Puerto Princesa. Palawan;P00379281;Philippines;Mitrephora;lanotan;0;0;0;0;<NA>;<NA>;1;2;1923;1;5;2004;0;0;0;118.735;9.7376;0;0;nan;P00379281;Cenabre, A.L.;Kessler, P.
Elmer, ADE;13731;Elmer, ADE;<NA>;01/09/1912 - 30/09/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta) Province of Agusan. Island of Mindanao.;P00379282;Philippines;Mitrephora;pictiflora;0;0;0;0;;;1;9;1912;;;;0;0;0;125.5322203;9.1232986;0;0;13731;P00379282;Elmer, A.D.E.;Elmer, A.D.E.
Elmer, ADE;17178;Elmer, ADE;<NA>;01/09/1916 - 30/09/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon.;P00379283;Philippines;Mitrephora;sorsogonensis;0;0;0;0;;;1;9;1916;;;;0;0;0;124.0320966;12.7038417;0;0;17178;P00379283;Elmer, A.D.E.;Elmer, A.D.E.
Ramos, M;;Kessler, P;03/09/1985 - 03/09/1985;01/04/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippines. Samar;P00379284;Philippines;Mitrephora;samarensis;0;0;0;0;<NA>;<NA>;1;4;1914;3;9;1985;0;0;0;125.11;11.96;0;0;nan;P00379284;Ramos, M.;Kessler, P.
Miranda, DP;20060;Kessler, P;01/05/2004 - 31/05/2004;01/10/1912 - 31/10/1912;Basilan;Philippines. Basilan;P00379285;Philippines;Mitrephora;basilanensis;0;0;0;0;;;1;10;1912;1;5;2004;0;0;0;122.035;6.58;0;0;20060;P00379285;Miranda, D.P.;Kessler, P.
Ramos, M;;nan;<NA>;01/04/1921 - 30/04/1921;Occidental Mindoro;Philippines. Paluan, Mindoro;P00389819;Philippines;Goniothalamus;puncticulifolius;0;0;0;0;<NA>;<NA>;1;4;1921;;;;0;0;0;120.4623373;13.4155816;0;0;nan;P00389819;Ramos, M.;<NA>
Adduru, M;136;Merrill, ED;<NA>;01/05/1917 - 18/06/1917;Cagayan;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;P00389821;Philippines;Artabotrys;cagayanensis;0;0;0;0;;;1;5;1917;;;;0;0;0;121.9;17.617;0;0;136;P00389821;Adduru, M.;Merrill, E.D.
Ahern;;nan;<NA>;01/03/1905 - 31/03/1905;Rizal;Philippines. Province of Rizal, Luzon.;P00389822;Philippines;Mitrephora;reflexa;0;0;0;0;<NA>;<NA>;1;3;1905;;;;0;0;0;121.25;14.65;0;0;nan;P00389822;Ahern;<NA>
Merrill, ED;9217;nan;<NA>;01/04/1913 - 30/04/1913;Palawan;Philippines. Taytay. Palawan;P00389824;Philippines;Mitrephora;fragrans;0;0;0;0;;;1;4;1913;;;;0;0;0;119.5159199;10.8264031;0;0;9217;P00389824;Merrill, E.D.;<NA>
Merrill, ED;5302;nan;<NA>;15/10/1906 - 15/10/1906;Tawi-Tawi;Philippines. Cagayan de Sulu Island;P00260041;Philippines;Uvaria;grandiflora;0;0;0;0;;;15;10;1906;;;;0;0;0;118.472;7.003;0;0;5302;P00260041;Merrill, E.D.;<NA>
Merrill, ED;9374;Merrill, ED;<NA>;01/05/1913 - 31/05/1913;Palawan;Philippines. Taytay. Palawan;P00260042;Philippines;Uvaria;purpurea;0;0;0;0;;;1;5;1913;;;;0;0;0;119.5159199;10.8264031;0;0;9374;P00260042;Merrill, E.D.;Merrill, E.D.
Merrill, ED;11551;Merrill, ED;<NA>;01/08/1922 - 31/08/1922;Occidental Mindoro;Philippines. Golo;P00260046;Philippines;Uvaria;goloensis;0;0;0;0;;;1;8;1922;;;;0;0;0;120.398;13.645;0;0;11551;P00260046;Merrill, E.D.;Merrill, E.D.
Elmer, ADE;16039;nan;<NA>;01/05/1916 - 31/05/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;P00260048;Philippines;Uvaria;elliptifolia;0;0;0;0;;;1;5;1916;;;;0;0;0;124.055;12.766;0;0;16039;P00260048;Elmer, A.D.E.;<NA>
Cumming;751;nan;<NA>;<NA>;National Capital Region (NCR);Manille;P00260055;Philippines;Uvaria;cordata;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;751;P00260055;Cumming;<NA>
Cumming;1291;nan;<NA>;<NA>;National Capital Region (NCR);Manille;P00260056;Philippines;Uvaria;cordata;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;1291;P00260056;Cumming;<NA>
Cumming;1807;nan;<NA>;<NA>;National Capital Region (NCR);Manille.;P00260057;Philippines;Uvaria;cordata;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;1807;P00260057;Cumming;<NA>
Gaudichaud;;nan;01/08/2002 - 31/08/2002;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P00260060;Philippines;Uvaria;cordata;0;0;0;0;<NA>;<NA>;1;11;1836;1;8;2002;0;0;0;120.9809674;14.5907332;0;0;nan;P00260060;Gaudichaud;<NA>
Gaudichaud;286;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P00260061;Philippines;Uvaria;cordata;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;286;P00260061;Gaudichaud;<NA>
Gaudichaud;286;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P00260062;Philippines;Uvaria;macrophylla;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;286;P00260062;Gaudichaud;<NA>
Gaudichaud;286;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P00260063;Philippines;Uvaria;macrophylla;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;286;P00260063;Gaudichaud;<NA>
Ramos, M;43348;nan;<NA>;01/08/1923 - 31/10/1923;Bohol;Philippines. Bohol;P00260067;Philippines;Uvaria;cordata;0;0;0;0;;;1;8;1923;;;;0;0;0;124.16;9.83;0;0;43348;P00260067;Ramos, M.;<NA>
Whitford, HN;1213;nan;<NA>;01/04/1905 - 30/04/1905;Bataan;Philippines. Lamao River, Mt. Mariveles. Province of Bataan, Luzon.;P00260070;Philippines;Uvaria;cordata;0;0;0;0;;;1;4;1905;;;;0;0;0;120.521;14.517;0;0;1213;P00260070;Whitford, H.N.;<NA>
Fernando, A;28234;nan;<NA>;01/11/1920 - 30/11/1920;Davao Region (Region XI);Philippines. Davao Province. Mindanao;P00260078;Philippines;Uvaria;cardinalis;0;0;0;0;;;1;11;1920;;;;0;0;0;125.5;7.17;0;0;28234;P00260078;Fernando, A.;<NA>
Elmer, ADE;15550;Elmer, ADE;<NA>;01/11/1915 - 30/11/1915;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon.;P00260079;Philippines;Uvaria;cardinalis;0;0;0;0;;;1;11;1915;;;;0;0;0;124.055;12.766;0;0;15550;P00260079;Elmer, A.D.E.;Elmer, A.D.E.
Merrill, ED;3859;Merrill, ED;<NA>;01/08/1904 - 31/08/1904;Bataan;Philippines. Mt. Mariveles. Prov. of Bataan. Luzon;P00260081;Philippines;Uvaria;alba;0;0;0;0;;;1;8;1904;;;;0;0;0;120.485;14.523;0;0;3859;P00260081;Merrill, E.D.;Merrill, E.D.
Ramos, M;48353;nan;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat island;P00248439;Philippines;Uvaria;zschokkei;0;0;0;0;;;1;9;1926;;;;0;0;0;122.05;14.116667;0;0;48353;P00248439;Ramos, M.;<NA>
Weber, CM;1004;Meade, C;17/05/1999 - 17/05/1999;01/03/1911 - 31/07/1911;Agusan del Norte;Philippines. Butuan subprovince. Mindanao;P00248440;Philippines;Uvaria;timoriensis;0;0;0;0;;;1;3;1911;17;5;1999;0;0;0;125.527228;8.9478297;0;0;1004;P00248440;Weber, C.M.;Meade, C.
Elmer, ADE;6322;nan;<NA>;01/05/1904 - 31/05/1904;Benguet;Philippines. Twin Peaks, Province of Benguet, Luzon.;P00248442;Philippines;Uvaria;stellata;0;0;0;0;;;1;5;1904;;;;0;0;0;120.561;16.261;0;0;6322;P00248442;Elmer, A.D.E.;<NA>
Cenabre, AL;29133;nan;<NA>;01/02/1923 - 28/02/1923;Palawan;Philippines. Puerto Princesa. Palawan;P00248444;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;2;1923;;;;0;0;0;118.7350414;9.7376025;0;0;29133;P00248444;Cenabre, A.L.;<NA>
Curran, HM;3525;nan;<NA>;01/01/1906 - 31/01/1906;Palawan;Philippines. Palawan.;P00248445;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;1;1906;;;;0;0;0;118.735;9.7376;0;0;3525;P00248445;Curran, H.M.;<NA>
Elmer, ADE;17933;nan;01/01/1987 - 31/12/1987;01/06/1917 - 31/07/1917;Laguna;Philippine Islands. Los Baños (Mt. Maquiling), Province of Laguna. Island of Luzon;P00248447;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;6;1917;1;1;1987;0;0;0;121.1944;14.1364;0;0;17933;P00248447;Elmer, A.D.E.;van Setten, A.K.
Merrill;1057;Merrill;<NA>;01/12/1916 - 31/12/1916;Quezon;Alabat Island;P00248448;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;12;1916;;;;0;0;0;122.05;14.117;0;0;1057;P00248448;Merrill;Merrill
Merrill, ED;1372;Merrill, ED;<NA>;01/05/1913 - 31/05/1913;Palawan;Philippine plants. Palawan;P00248449;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;5;1913;;;;0;0;0;118.75;10.0;0;0;1372;P00248449;Merrill, E.D.;Merrill, E.D.
Ramos, M;;nan;<NA>;01/09/1922 - 30/09/1922;Palawan;Philippines. Busuanga Island;P00248450;Philippines;Uvaria;sorzogonensis;0;0;0;0;<NA>;<NA>;1;9;1922;;;;0;0;0;120.0280968572961;12.1451487;0;0;nan;P00248450;Ramos, M.;<NA>
Velasco, V;26613;nan;<NA>;01/01/1917 - 31/03/1917;Cagayan;Philippines. Province of Cagayan. Luzon;P00248451;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;1;1917;;;;0;0;0;121.833;18.0;0;0;26613;P00248451;Velasco, V.;<NA>
